Column1,Column2,Column3
Анка,1:conc:hum,
Анкара,1:conc:loc,
Анкона,1:conc:loc,
Анн-Марі,1:conc:hum,
Анна,1:conc:hum,
Аннан,1:conc:hum,
Анненков,1:conc:hum,
Анненський,1:conc:hum,
Аннет,1:conc:hum,
Аннета,1:conc:hum,
Анничка,1:conc:hum,
Аннунціо,1:conc:hum,
Аннушка,1:conc:hum,
Аннівка,1:conc:loc,
Анніка,1:conc:hum,
Аносов,1:conc:hum,
Анохін,1:conc:hum,
Аношкине,1:conc:loc,
Анпілов,1:conc:hum,
Анрі,1:conc:hum,
Ансельм,1:conc:hum,
Ансельмо,1:conc:hum,
Ансіп,1:conc:hum,
Антадзе,1:conc:hum,
Антал,1:conc:hum,
Анталовці,1:conc:loc,
Анталья,1:conc:loc,
Анталія,1:conc:loc,
Антананариву,1:conc:loc,
Антананаріву,1:conc:loc,
Антарктида,1:conc:loc,
Антарктика,1:conc:loc,
Антахович,1:conc:hum,
Антверпен,1:conc:loc,:xp1
Антверпен,1:conc:loc,:xp2
Анте,1:conc:hum,
Антей,1:conc:hum,
Антек,1:conc:hum,
Антигуа,1:conc:loc,
Антип,1:conc:hum,
Антипенко,1:conc:hum,
Антипов,1:conc:hum,
Антипівка,1:conc:loc,
Антон,1:conc:hum,
Антонен,1:conc:hum,
Антоненко,1:conc:hum,
Антоненкове,1:conc:loc,
Антонеску,1:conc:hum,
Антонець,1:conc:hum,
Антонида,1:conc:hum,
Антонич,1:conc:hum,
Антонишин,1:conc:hum,
Антоно-Ковач,1:conc:loc,
Антонов,1:conc:hum,
Антонове,1:conc:loc,
Антонович,1:conc:hum,
Антоновичі,1:conc:loc,
Антонопіль,1:conc:loc,
Антонюк,1:conc:hum,
Антонюки,1:conc:loc,
Антоняк,1:conc:hum,
Антоні,1:conc:hum,
Антонів,1:conc:hum,
Антонів,1:conc:loc,
Антонівка,1:conc:loc,
Антонівське,1:conc:loc,
Антонівці,1:conc:loc,
Антоній,1:conc:hum,
Антоніна,1:conc:hum,
Антоніна,1:conc:loc,
Антоніни,1:conc:loc,
Антоніо,1:conc:hum,
Антоніоні,1:conc:hum,
Антоніс,1:conc:hum,
Антоніу,1:conc:hum,
Антонія,1:conc:hum,
Антопіль,1:conc:loc,
Антось,1:conc:hum,
Антосьо,1:conc:hum,
Антося,1:conc:loc,
Антошко,1:conc:hum,
Антошків,1:conc:hum,
Антощенко,1:conc:hum,
Антощук,1:conc:hum,
Антракоп,1:conc:loc,
Антрацит,1:conc:loc,
Антропов,1:conc:hum,
Антуан,1:conc:hum,
Антуанетта,1:conc:hum,
Антігона,1:conc:hum,
Антігуа,1:conc:loc,
Антін,1:conc:hum,
Антінея,1:conc:hum,
Антіох,1:conc:hum,
Антіохія,1:conc:loc,
Антіпов,1:conc:hum,
Антіфон,1:conc:hum,
Антішки,1:conc:loc,
Анубіс,1:conc:hum,
Ануфрієв,1:conc:hum,
Анушкевичус,1:conc:hum,
Анфіса,1:conc:hum,
Анхель,1:conc:hum,
Анхель,1:conc:loc,
Анциполівка,1:conc:loc,
Анчелотті,1:conc:hum,
Анька,1:conc:hum,
Аньямке,1:conc:hum,
Аньєзе,1:conc:hum,
Аньєс,1:conc:hum,
Анюта,1:conc:hum,
Анютине,1:conc:loc,
Аня,1:conc:hum,
Анікін,1:conc:hum,
Анісимов,1:conc:hum,
Аністратенко,1:conc:hum,
Анісімов,1:conc:hum,
Аніта,1:conc:hum,
Аніщенко,1:conc:hum,
Анґела,1:conc:hum,
Аоминь,1:conc:loc,:xp1
Аоминь,1:conc:loc,:xp2
Аоморі,1:conc:loc,
Апанасенко,1:conc:hum,
Апанли,1:conc:loc,
Апанович,1:conc:hum,
Апдайк,1:conc:hum,
Апенніни,1:conc:loc,
Апокни,1:conc:loc,
Аполло,1:conc:hum,
Аполлодорій,1:conc:hum,
Аполлон,1:conc:hum,
